 ,,,,,,,For Andrew ,,,For Andrew ,For Andrew ,For Andrew ,For Andrew ,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",,
12/10/2020,      V330,Banks Shorts,BCM,M,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/10/2020,V126,Starto Tech Tee,CLD,L,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/10/2020,V302,Kore Short,PWC,M,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/10/2020,V334,Ponto Short,HCC,L,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/10/2020,V946,Dunes Tee,NAT,XL,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/12/2020,VW303,Performance Jogger,BLK,M,1,In,TRUE,Lightspeed Return,SL,1180,1921,1109,TRUE,,
12/12/2020,VW303,Performance Jogger,HNS,L,1,In,TRUE,Lightspeed Return,SL,1180,1921,1109,TRUE,,
12/13/2020,VW325,Elevation Legging,HCE,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW169,Mudra Fited Tee,MHG,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW365,"Clementine Short 4"" ",DSK,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW404,Wayfarer Pant,CLY,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V525,Palisades Rain Jacket,BLK,XXL,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V412,Ripstop Climber Pant,CCO,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW123,Energy Top,WHT,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V370,Ripstop Short,BCM,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V330,Banks Short,CWD,XXL,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V109,Tradewind Performamce Tee,BLK,XXL,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW303,Performance Jogger,HCL,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW303,Performacne Jogger,BLK,XL,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW303,Performance Jogger,BCM,XL,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V370,Ripstop Short,CCL,XXL,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V344,Ponto Short,HTG,XXL,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V416,Sunday Performance Jogger,BLK,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V224,Ponto Performance Crew,BLK,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW303-L,Performance Jogger - Long,HTG,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW136,Elevation Bra,LHG,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW201,Halo Performance Hoodie ,BLK,XL,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V330,Banks Short,CCT,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V418,Ponto Perfromance Pant,HCC,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V412,Ripstop Pant,CCL,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V430,Meta Pant,BLK,34,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V175,Austin Henley,HCC,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,,Vega Jacket,BLK,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V416,Sunday Performance Jogger,HCC,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,VW303,Performance Jogger,BLK,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1108636,,1110,TRUE,,
12/13/2020,V302,Kore Short,PWC,L,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V418,Ponto Performance Jogger,BLK,XS,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V330,Banks Short,CMO,L,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V218,Jefferys Pullover,HTI,L,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V412,Ripstop Pant,ARM,M,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V101,Tuvalu Tee,Amber,M,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V330,Banks Short ,BCM,S,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,VW409,Clean Elevation,HCC,XS,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,VW409,Clean Elevation,HCC,XS,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,V330,Banks Short,BCM,S,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,V101,V101,Amber,M,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,V412,Ripstop Pant,CCL,L,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,VW323,Daily Legging,Ocean,S,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,V303,Performance Jogger ,NVY,S,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,V303,Performance Jogger,BCM,XS,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,VW142,Plyo Tank,DSK,M,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,VW323,Daily Legging,BCM,M,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,V154,S/S Bishop Button-Down,LTG,M,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,VW123,Energy Top,ORE,XS,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,VW243,Catalina Crew,NAT,S,1,Out,TRUE,Damaged,GV,1108636,,1110,TRUE,,
12/13/2020,V330,Banks Short,GRL,M,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V418,Ponto Performance Pant,HBG,XL,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,VW418,Daily Jogger,BLK,S,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V418,Ponto Performance Pant,HCC,L,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V416,Sunday Performance Jogger,IND,L,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,VW303,Performance Jogger,HCL,S,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V416,Sunday Performance Jogger,OXB,M,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,VW226,Halo Essential Hoodie,HTG,L,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V416,Sunday Performance Jogger,HCC,S,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/13/2020,V165,S/S Ever Henly,CLD,L,1,In,TRUE,Lightspeed Return,GV,1180,1921,1109,TRUE,,
12/17/2020,V416,Sunday Performance Jogger,BLK,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V101,Tuvalu Tee,WHT,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V430,Meta Pant,NVY,34,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V412,Ripstop Climber Pant,CCL,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW516,Womens Alphine Sherrpa Jacket,ORE,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V418,Ponto Performance Pant,BLK,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V150,Crest S/S Button-Down,SAR,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW427,Lux  Harem,HCC,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW222,Mudra Tp,LHG,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V430,Meta Pant,CCL,30,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V330,Banks Short,BKL,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V370,Ripstop Short,BCM,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V418,Ponto Performance Pant,BLK,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW323,Daily Legging,BCM,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V412,Ripstop Pant,CCL,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW427,Lux Harem,HCC,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V178,L/S Solstice Tee,HCC,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW323,Daily Legging,DSK,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW303,Performance Jogger,HCC,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW409,Clean Elevation,HCC,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW363,Seascape Shorty,BLK,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW323,Daily Legging,SPC,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW347,Laguna Lounge Pant,INK,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW347,Laguna Lounge Pant,HZL,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW323,Daily Legging,BCM,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V330,Banks Short,BKL,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW108,Lux Performance Tank,BLK,S,1,In,TRUE,Lightspeed Return Giftcard,GV ,1192,1939,1127,TRUE,,
12/17/2020,V126,Starto Tech Tee,HCL,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW303,Performance Jogger,HCL,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V126,Starto Tech Tee,HCO,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW323,Daily Legging,FIG,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V126,Strato Tech Tee,HTG,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V430,Meta Pant,CCL,36,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,V101,Tuvalu Tee,BLK,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/17/2020,VW133,Daydream Crew,HDS,S,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW418,Daily Jogger,BLK,S,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,V341,Trail Short,BFP,M,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW303,Performance Jogger,HNV,XS,2,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW409,Clean Elevation Legging,HBF,L,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW106,Lux Performance Tee,Sage Heather,XS,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,V201,Movement Hoodie,HBK,L,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/20,VW136,Elevation Bra ,HCE,L,1,In,TRUE,Lightspeed Return,SL,1192,1938,1126,TRUE,,
12/17/2020,VW136,Elevation Bra ,HCE,M,1,In,TRUE,Lightspeed Return,SL,1192,1938,1126,TRUE,,
12/17/2020,VW303,Performance Jogger,HCL,XS,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW226,Halo Essential Hoodie,HCC,XS,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW220,Crescent 1/2 Zip,HDS,M,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW304,Clementine Short ,CBF,M,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW303,Performance Jogger,BLK,M,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW303-L,Performance Jogger - Long,HCC,M,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/20,VW323,Daily Legging,CCL,XS,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,VW329,Pace High Rise Legging ,CER,L,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,V302,Kore Short,BLK,XL,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,V165,S/S Ever Henly,ORE,M,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,V178,L/S Strato Tech Tee,NVY,M,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,,Evolution Short,32,BLK,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/17/2020,,Evolution Short,32,BLK,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V165,S/S Ever Henly,ORE,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V178,L/S Strato Tech Tee,NVY,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW303,Performance Jogger,BLK,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V341,Trail Short,BFP,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V430,Meta Pant,CCL,30,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW409,Clean Elevation ,HCC,XS,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW303,Perfromance Jogger,HCC,XS,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW323,Daily Legging,DSK,XS,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V370,Ripstop Short,BCM,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V412,Ripstop Pant,CCL,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW323,Daily Legging,FIG,S,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW427,Lux Harem,HCC,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V101,Tuvalu Tee,WHT,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V416,Sunday Performance Jogger,BLK,S,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW409,Clean Elevation Legging,HCC,L,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW303,Performance Jogger,BLK,XS,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V330,Banks Short,BKL,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW323,Restore 1/2 Zip,DSK,XS,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW201,Halo Performacne Hoodie,HTG,XS,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW303-L,Performance Jogger-Long,BCM,S,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V153,L/S Bishop Button Up,LHG,XL,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW323,Daily Legging,BCM,XS,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW418,Daily Jogger,HZL,XS,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V429,Fleet Pant,BLK,L,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V201,Movement Hoodie,HBK,L,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V416,Sunday Performance Jogger,HCC,L,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,V218,Jefferys Pullover,HTG,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/17/2020,VW323,Daily Legging,BCM,S,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/19/2020,V242,Seaside Hoodie,BLK,M,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,VW418,Daily Jogger,BLK,S,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,V370,Ripstop Short,ARM,S,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,V370,Ripstop Short,CCL,L,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,V370,Ripstop Short,KHK,S,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,V418,Ponto Performance Pant,HCC,M,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,VW339,Halo Short,HTI,M,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,VW303,Performance Jogger,HCL,XS,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,WV226,Halo Essential Hoodie,HCL,XS,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,V406,Balboa Pant,BLK,XL,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,VW226,Halo Essential Hoodie,HCE,M,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,VW303,Performance Jogger ,HCC,M,1,Out,TRUE,Damaged,AP,115872,,1125,TRUE,,
12/19/2020,VW226,Halo Essential Hoodie,HCL,M,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,VW418,Daily Jogger,HZL,S,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/19/2020,V418,Ponto Performance Pant,BLK,XL,1,In,TRUE,Lightspeed Return,AP,1192,1938,1126,TRUE,,
12/20/2020,VW303,Performacne Jogger,BLK,S,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/20/2020,VW303,Performance Jogger,HCC,S,1,In,TRUE,Lightspeed Return,GV,1192,1938,1126,TRUE,,
12/20/2020,VW365,"Clementine Short 4"" ",CTT,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,V434,Ripstop Traveler Jogger,BLK,XL,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,VW303-L,Performacne Jogger,BLK,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,V826,V1 VVuori Woodmark Hat,HNV,ONS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,VW108,Lux Performance Tank,HDS,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,VW123,Energy Top,WHT,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,VW303,Performance Joggger,BCM,XS,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,VW226,Halo Essential Hoodie,HCC,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,V430,Meta Pant,BLK,36,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,V302,Kore Short,CCL,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,V330,Banks Short,BCM,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,VW303,Performance Jogger ,HTG,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,V302,Kore Short,BWC,XL,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,VW303,Performance Jogger,IND,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1192,1939,1127,TRUE,,
12/20/2020,VW303,Performance Jogger,IND,L,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,V302,Kore Short,BWC,XL,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,VW303,Performance Jogger,HTG,S,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,V330,Banks Short,BCM,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,V302,Kore Short,CCL,S,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,V416,Sunday Performance Jogger,HCC,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,V416,Sunday Performance Jogger,BLG,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,V412,Ripstop Pant,CCL,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,V528,Topanga Insulated Jacket,ORE,L,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,VW303,Performance Jogger,HCA,M,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/20/2020,VW329,Pace High Rise Legging ,BLK,L,1,Out,TRUE,Damaged,GV,115872,,1125,TRUE,,
12/21/2020,V835,Vuori Athletics Hat,BLK,ONS,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,VW303-L,Performance Jogger-Long,HCC,L,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,VW303-L,Performance Jogger - Long,BLK,L,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,VW123,Energy Top,HCE,S,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,V429,Fleet Pant,IND,L,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,V429,Fleet Pant,IND,M,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,V101,Tuvalu Tee,COG,L,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,V237,Aspen Shirt Jacket,HTG,M,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,V429,Fleet Pant,BLK,M,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,V429,Fleet Pant,EVG,M,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,VW329,Pace High Rise Legging ,BLK,S,2,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,V330,Banks Short,BKL,L,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,V820,California Beanie,BER,ONS,1,In,TRUE,Lightspeed Return,GV,1197,1944,1134,TRUE,,
12/21/2020,V531,Alphine SHerpa Jacket,HTG,XL,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,VW235,Restore Crew,GDN,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,VW365,"Clementine Short 4"" ",CTT,XL,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,V314,Cruise Boardshort ,ICB,33,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/20202,VW959,Live Give Tank,Storm,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,V418,Ponto Performance Pant,HTG,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,VW303,Performance Jogger,HCC,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,VW303,Performance Jogger,BCM,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,VW418,Daily Jogger,BLK,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,VW329,Pace High Rise Legging ,BLK,M,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,V418,Ponto Performance Pant,HTI,L,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,V420,Everything Chino,INK,33,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
12/21/2020,VW233,Restorte 1/2 Zip,NAT,S,1,In,TRUE,Lightspeed Return Giftcard,GV,1197,1945,1135,TRUE,,
