 ,,,,,,,For Andrew ,,,For Andrew ,For Andrew ,For Andrew ,For Andrew ,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",,
10/09/2020,VW401,Womens Ripstop Pant,COP,M,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW418,Daily Jogger,BLK,S,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,VW142,Yosemite Bra,HDS,XS,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/09/2020,VW142,Plyo Tank,HDS,S,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/09/2020,V126,Strato Tech Tee,HCL,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/09/2020,VW243,Catalina Crew,NAT,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/09/2020,V420,Everything Chino,ARM,33,1,Out,FALSE,Custom Sale,AP,,,,FALSE,,
10/09/2020,VW303,Performance Jogger,HTI,M,1,Out,FALSE,Custom Sale,AP,,,,FALSE,,
10/09/2020,V341,Trail Short,BLK,XXL,1,Out,FALSE,Custom Sale,AP,,,,FALSE,,
10/09/2020,VW303,Performance Jogger,BCM,XS,1,In,TRUE,Lightspeed Return,AP ,1081,1780,1012,TRUE,,
10/09/2020,VW3030,Performance Jogger,HCA,XS,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,V101,Tuvalu Tee,SAL,M,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/09/2020,VW329,Pace High Rise Legging,BLK,L,1,Out,TRUE,Damaged,AP,908277,,1011,TRUE,,
10/09/2020,V367,"Kore Short 5""",NCM,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
10/09/2020,V341,Trail Short,COP,L,1,In,TRUE,Lightspeed Return,AP,1081,1780,1012,TRUE,,
