SKU_full,Quantity
V109HCLXXL,-1
V109HMIXXL,-1
V330BKLLRG,-1
V367BCLLRG,-1
V378SALLRG,-1
V412TOBLRG,-1
V416HCCLRG,-1
V416HPTLRG,-1
V430BLK032,-1
V965HTILRG,-1
VW201BLKSML,-1
VW201HBCMED,-1
VW240HCAMED,-1
VW323DSKMED,-1
VW381HBCMED,-1
VW409BCMMED,-1
VW409HCCXSM,-1
VW428BLKMED,-1
VW428BLKSML,-1
