 ,,,,,,,For Andrew ,,,,,,,,
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),"Reason For
Defect/Damaged",Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)",
12/26/2020,VW323,Daily Legging,CCL,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V949,Ridgeline Tee,CCL,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V430,Meta Pant,CCL,34,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V417,Transit Jogger,NVY,L,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW104,Yosemite Bra,BCM,M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW303,Performance Jogger,SAGE,XS,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V418,Ponto Performance Pant,HTI,L,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW133,Daydream Crew,LHG,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V341,Trail Short,LHG,L,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V412,Ripstop Climber Pant,CCL,M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW123,Energy Top,HML,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW233,Restore 1/2 Zip,DSK,XS,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW303,Performance Jogger,BLK,M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW303,Performance Jogger,HCC,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW323,Daily Legging,INK,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW123,Energy Top,HTG,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW133,Daydream Crew,HTG,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW235,Restore Crew,GDN,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW243,Catalina Crew,NAT,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW233,Restore 1/2 Zip,DSK,L,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW233,Restore 1/2 Zip,NAT,M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW325,Elevation Perfomance Legging,HCE,XS,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW401,Wander Pant,CCL,M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW519,Truckee Insulated Jacket,BLK,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V420,Everything Chino Pant,BLK,34,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V221,Ease Performance 1/2 Zip,HCC,XL,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW409,Clean Elevation Leggings,HBF,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V947,Intuition Tee,NVY,M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V954,Tree Tee,ARM(Army),M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V956,Lines Tee,BLK,M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW123,Energy Top,WHT(White),L,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW323,Daily Legging,BLK,S,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V224,Ponto Crew,HCC,M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V955,Mountain Light Tee,HTG,L,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,V302,Kore Short,BLK,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V341,Trail Short,BLK,XL,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V109,Tradewind Performance Tee,HTG,XL,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW303,Perfomance Jogger,HTG,XL,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V418,Ponto Perfomance Pant,HTG,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW303,Perfomance Jogger,BLK,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V418,Ponto Perfomance Pant,HTG,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW303-L,Perfomance Jogger - Long,HCC,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V126,Strato Tech Tee,OXB,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V178,L/S Strato Tech Tee,HNV,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V418,Ponto Perfomance Pant,BLK,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V418,Ponto Perfomance Pant,HCC,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW339,Halo Perfomance Short,HTG,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW303,Perfomance Jogger,HCA,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW347,Laguna Lounge Pant,NAT,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW243,Catalina Crew,NAT,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW243,Catalina Crew,INK,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V109,Tradewind Performance Tee,BLK,XL,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW226,Halo Essential Hoodie,BCM,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW243,Catalina Crew,NAT,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V175,Austin Henley,HCC,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW409,Clean Elevation Legging,HBF,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW401,Womens Ripstop Pant,ARM,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW303,Performance Jogger,HCC,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V820,California Beanie,DKS,ONS,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V175,Austin Henley,LHG,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V820,California Beanie,HNV,ONS,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V820,California Beanie,BER,ONS,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V344,Ponto Short,BLK,XL,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V406,Balboa Pant,BLK,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V530,Topanga Insulated Vest,COG,XL,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V367,Kore Short,SWR,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V344,Ponto Short,BLK,XL,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V302,Kore Short,IND,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V416,Sunday Performance Jogger,HCC,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V221,Ease Performance 1/2 Zip,HIN,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V164,Ace Polo,IND,XL,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V164,Ace Polo,LTG,XL,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V101,Tuvalu Tee,SAL,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V416,Sunday Perfomance Jogger,BLK,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V302,Kore Short,SWR,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V416,Sunday Perfomance Jogger,HCC,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW303,Perfomance Jogger,HCC,S,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V234,Ponto Track Jacket,HCC,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW303,Perfomance Jogger,HNV,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V108,L/S Ever Henley,BLK,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V412,Ripstop Climber Pant,IND,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V412,Ripstop Climber Pant,BLK,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V108,L/S Ever Henley,IND,M,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,V418,Ponto Perfomance Pant,HCC,L,1,In,TRUE,Lightspeed Giftcard,,CAM,1202,1954,1141,TRUE,
12/26/2020,VW303,Perfomance Jogger,BLK,M,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/26/2020,VW303,Perfomance Jogger,BLK,L,1,Out,TRUE,Damaged,,CAM,1188837,,1140,TRUE,
12/29/2020,V302,Kore Short ,IND,L,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,V234,Ponto Track Jacket,HCC,XXL,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,V416,Sunday Jogger,HCC,S,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,VW325,Elevation Performance Legging,LHG,XS,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,VW169,Mudra Fitted Tee,BLK,S,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,VW142,Plyo Tank,HDS,S,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,VW303,Performance Jogger,HCE,S,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,V224,Ponto Crew ,HCC,S,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,V416,Sunday Jogger,BLK,XL,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,VW201,Halo Performance Hoodie,BLK,S,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,VW226,Halo Performance Hoodie,HCL,L,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,V101,Tuvalu Tee,SAL,M,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,V416,Sunday Jogger,BLK,L,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/29/2020,V430,Meta Pant,NVY,33,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/29/2020,VW108,Lux Performance Tank,HCC,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/29/2020,V302,Kore Short,SWR,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/29/2020,VW243,Catalina Crew,HZL,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/29/2020,V430,Meta Pant,BIR,33,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/29/2020,VW303,Performance Jogger,HCC,XS,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW226,Halo Essential Hoodie,HDG,XS,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger,NVY,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW516,Women's Alpine Sherpa Jacket,NAT,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303-L,Performance Joggers - Long,BLK,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW323,Daily Legging,SPC,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V126,Strato Tee,HCL,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW418,Daily Jogger,BLK,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW516,Women's Alpine Sherpa Jacket,NAT,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V523,Daybreak Windbreaker,PAL,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger,BCM,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V430-L,"Meta Pant - 34""",NVY,34,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW201,Halo Performance Hoodie,HCA,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW347,Laguna Lounge Pant,NAT,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW401,Women's Ripstop Pant,BCM,XS,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V412,Ripstop Climber Pant,BLK,L,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V418 ,Ponto Performance Pant,BLK,L,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/30/2020,V344,Ponto Short,HBG,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW108,Lux Performance Tank,HCC,XS,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V178,L/S Strato Tech Tee,HNV,L,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V101,Tuvalu Tee,INK,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger,HCC,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V242,Seaside Hoodie ,BLK,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V417,Transit Jogger,CCL,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V237,Aspen Shirt Jacket,HTG,L,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V430,Meta Pant,BIR,32,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW329,Pace High Rise Legging,OCT,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V531,Alpine Sherpa Jacket,BLK,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger,BLK,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger,HCC,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V218,Jeffrey's Pullover,HTI,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW235,Restore Crew,BIS,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW243,Catalina Crew,HTG,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V512,Outdoor Trainer Shell,AZL,XXL,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V370,Ripstop Short,BCM,L,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V416,Sunday Performance Jogger,HCC,XL,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V412,Ripstop Climber Pant,CCL,L,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW226,Halo Essential Hoodie,HCC,S,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V370,Ripstop Short,CCL,1,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V412,Ripstop Climber Pant,BCM,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW243,Catalina Crew,NAT,XS,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V177,L/S Tradewind Performance Tee,HTG,XL,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V412,Ripstop Climber Pant,CCL,M,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V412,Ripstop Climber Pant,KHK,L,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303-L,Performance Jogger,BLK,XS,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V418,Ponto Performance Pant,HCC,XL,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V302,Kore Short,IND,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V412,Ripstop Climber Pant,KHK,M,1,in,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger,BLK,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW226,Halo Essential Hoodie,BCM,XS,1,in,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V418,Ponto Performance Pant,HCC,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V418,Ponto Performance Pant,BLK,Xl,1,in,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,VW158,Daily Bra,BLK,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW401,Womens Ripstop Pant,CCL,L,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,VW304,Clementine Short,BWC,S,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V126,Strato tech tee,HCC,L,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,VW108,Lux Performance Tank,HCE,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger,BLK,XS,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger,BLK,S,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,VW409,Clean Elevation Legging,HBF,L,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW347,Laguna Lounge Pant,HZL,M,1,IN,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V218,Jeffrey's Pullover,HTI,XL,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger ,HCC,S,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V126,Strato Tech Tee,HNV,L,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Perfromance Jogger,BCM,M,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V213,Jackson Hoodie,BLK,L,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V416,Sunday Performance Jogger,BLK,XL,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW303,Performance Jogger,blk,M,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V430-L,"Meta Pant - 34""",BLK,32,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V242,Seaside Hoodie ,IND,XL,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V201,Movement Hoodie ,HTG,L,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/30/2020,VW323,Daily Legging,BCM,S,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/30/2020,V430,Meta Pant,CCL,32,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/30/2020,V344,Ponto Short,BLK,M,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/30/2020,VW323,Daily Legging,CCL,XS,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/30/2020,VW323,Daily Legging,BCM,M,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/30/2020,V412,Ripstop Climber Pant,DCO,S,1,In,TRUE,Lightspeed Return,,FRANK,1223,1982,1169,TRUE,
12/30/2020,VW235,Restore Crew,BIS,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW418,Daily Jogger,HZL,S,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,VW218,Herringbone Jacket,LTG,XL,1,In,TRUE,Lightspeed Giftcard,,FRANK,1223,1981,1168,TRUE,
12/30/2020,V412,Ripstop Climber Pant,DCO,S,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW323,Daily Legging,CCL,XS,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW323,Daily Legging,BCM,M,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V430,Meat Pant ,CCL,32,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW323,Daily Legging,BCM,S,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V201,Movement Hoodie ,HTG,L,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW323,Daily Legging,BCM,S,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V344,Ponto Short,BLK,M,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW347,Laguna Lounge Pant,HTG,XS,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW303,Performance Jogger,HCA,M,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V237,Aspen Shirt Jacket,BLK,XL,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW303, Performance Jogger,EVG,S,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V367,"Kore Short 5""",IND,S,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V412,Ripstop Climber Pant,CCO,L,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V412,Ripstop Climber Pant,CCL,S,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW401,Womens Ripstop Pant,BCM,L,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW409,Clean Elevation Legging,HCC,S,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V822,Relay Beanie,ONS,HBK,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW303,Performance Jogger,BLK,XS,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW303,Performance Jogger,BLK,XS,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V418,Ponto Pant,BLK,M,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V412,Ripstop Climber Pant,CCL,M,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,V419,Cosmos Lounge Pant,BLK,XL,1,Out,TRUE,Damaged,,FRANK,1203963,,1167,TRUE,
12/30/2020,VW401,Womens Ripstop Pant,CCL,S,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V417,Transit Jogger,NVY,S,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
12/30/2020,V433,Collins Chino Pant,BLK,32,1,In,TRUE,Lightspeed Giftcard,,Connor,1223,1981,1168,TRUE,
