,,,,,,,For Andrew,,,For Andrew ,For Andrew ,For Andrew ,For Andrew 
Date,SKU,Style,Color,Size,Quantity,In/Out,"Processed
(Stocky)",Notes (LightSpeed Return or Damaged),Your Name,FC Batch / INV #,FC Control #,SHOPIFY,"Processed
(FC)"
12/30/2020,V412,Ripstop Climber Pant,CCL,XL,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,V148,Ponto Performance Pant,HTI,L,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,V418,Ponto Performance Pant,BLK,L,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,VW303,Performance Jogger,HTG,S,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,V330,Banks Short,AZL,L,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,VW303,Performance Jogger,HTG,XS,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,VW303,Performance Jogger,HCC,XS,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,VW303,Performance Jogger,HCC,M,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,VW108,Lux Performance Tank,HCC,M,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,V416,Sunday Performance Jogger,IND,M,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,V418,Ponto Performance Pant,HTG,L,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,VW201,Halo Performance Hoodie,HTG,S,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,VW303,Performance Jogger,HCC,S,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,V518,Soco Zip Up,ORE,L,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,V302,Kore Short,CCL,L,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/3/2021,V416,Sunday Performance Jogger,IND,L,1,IN,TRUE,Lighspeed Return,PARKER,1242,2005,1195,TRUE
1/3/2021,V416,Sunday Performance Jogger,HCC,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,V416,Sunday Performance Jogger,IND,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,V406,Balboa Pant,BLK,S,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,VW303,Performance Jogger,BCM,XL,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,V218,Jefferys Pullover,HTG,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,V224,Ponto Performance Crew,HDG,XL,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,VW303-L,Performance Jogger - Long,BLK,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,V237,Aspen Shirt Jacket,HTG,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,V418,Ponto Performance Pant,HCC,L,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/3/2021,V412,Ripstop Climber Pant,ARM,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,V418,Ponto Performance Pant,HBG,XXL,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,V412,Ripstop Climber Pant,ARM,L,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,V412,Ripstop Climber Pant,CCL,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,VW303,Performance Jogger,HCL,S,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,V330,Banks Short,GRL,L,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,V416,Sunday Performance Jogger,BLK,S,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,V344,Ponto Short,BLK,L,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,V150,Crest S/S Button-Down,SAR,L,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,VW303,Performance Joggers,HCC,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/4/2021,V330,Banks Short,BMD,S,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,VW104,Yosemite Bra,BCM,S,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,VW201,Halo Performance Hoodie,HTG,S,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,V242,Seaside Hoodie,CCO,M,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,V418,Ponto Performance Pant,BLK,L,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,V302,Kore Short,IND,XL,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,V430,Meta Pant,CCL,32,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,VW108,Lux Performance Tank,HIN,M,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,VW303,Performance Jogger,BLK,XS,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,V433,Collins Chino Pant,CCO,32,1,IN,TRUE,Lightspeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/4/2021,VW303,Performance Jogger,BLK,M,1,IN,TRUE,Lightspeed Return,PARKER,1242,2005,1195,TRUE
1/4/2021,V344,Ponto Short,BLK,L,1,IN,TRUE,Lightspeed Return,PARKER,1242,2005,1195,TRUE
1/4/2021,V344,Ponto Short,HTG,L,1,IN,TRUE,Lightspeed Return,PARKER,1242,2005,1195,TRUE
1/4/2021,VW303,Performance Jogger,HCA,S,1,IN,TRUE,Lightspeed Return,PARKER,1242,2005,1195,TRUE
1/4/2021,VW201,Halo Performance Hoodie,HCA,S,1,IN,TRUE,Lightspeed Return,PARKER,1242,2005,1195,TRUE
1/4/2021,VW123,Energy Top,WHT,S,1,IN,TRUE,Lightspeed Return,PARKER,1242,2005,1195,TRUE
1/4/2021,VW303,Performance Jogger,HNV,S,1,IN,TRUE,Lightspeed Return,PARKER,1242,2005,1195,TRUE
1/4/2021,V412,Ripstop Climber Pant,CCO,S,1,IN,TRUE,LightSpeed Return,PARKER,1242,2005,1195,TRUE
1/4/2021,VW409,Clean Elevation Legging ,HOR,L,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/7/2021,V367,Kore Short 5,IND,M,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,V330,Banks Short,AZL,M,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,V433,Collins Chino Pant,CCO,34,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,V126,Strato Tech Polo,HOX,S,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,V221,Ease Performance 1/2 Zip,HBG,S,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,V302,Kore Short,IND,XL,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,VW303-L,Performance Jogger- Long,HCC,S,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,VW133,DayDream Crew,LHG,M,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,VW148,Lizette Crop,BLK,XS,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,V416,Sunday Performance Jogger,HCC,XL,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1242,2006,1196,TRUE
1/7/2021,VW516,Women's Alpine Sherpa Jacket,ORE,S,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/7/2021,V412,Ripstop Climber Pant,ARM,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/7/2021,V433,Collins Chino Pant,CCO,38,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/7/2021,V433,Collins Chino Pant,BLK,36,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/7/2021,V302,Kore Short,IND,M,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/7/2021,VW323,Daily Legging ,DSK,S,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/7/2021,VW303,Performance Joggers,BCM,S,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/7/2021,V412,Ripstop Climber Pant,CCL,S,1,OUT,TRUE,Damaged,PARKER,1247760,,1194,TRUE
1/10/2021,VW303,Performance Jogger,HTG,XS,1,IN,TRUE,Lightspeed Return,PARKER,1244,2008,1202,TRUE
1/10/2021,V150,Crest S/S Button-Down,IMD,M,1,IN,TRUE,Lightspeed Return,PARKER,1244,2008,1202,TRUE
1/10/2021,VW142,Plyo Tank,HCC,M,1,IN,TRUE,Lightspeed Return,PARKER,1244,2008,1202,TRUE
1/10/2021,VW201,Halo Performance Hoodie,HNV,L,1,IN,TRUE,Lightspeed Return,PARKER,1244,2008,1202,TRUE
1/10/2021,VW347,Laguna Lounge Pant,INK,M,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1244,2009,1203,TRUE
1/10/2021,VW226,Halo Essential Hoodie,HCL,M,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1244,2009,1203,TRUE
1/10/2021,V302,Kore Short,IND,M,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1244,2009,1203,TRUE
1/10/2021,VW303,Performance Jogger,HCA,M,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1244,2009,1203,TRUE
1/10/2021,V416,Sunday Performance Jogger,HCC,L,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1244,2009,1203,TRUE
1/10/2021,VW226,Halo Essential Hoodie,HTG,L,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1244,2009,1203,TRUE
1/10/2021,VW240,L/S Solstice Tee,HCA,XS,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1244,2009,1203,TRUE
1/10/2021,VW243,Catalina Crew,HZL,L,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1244,2009,1203,TRUE
1/10/2021,VW243,Catalina Crew,HTG,L,1,IN,TRUE,LightSpeed Return Giftcard,PARKER,1244,2009,1203,TRUE
1/10/2021,VW243,Catalina Crew,INK,M,1,OUT,TRUE,Damaged,PARKER,1254729,,1201,TRUE
1/10/2021,VW347,Laguna Lounge Pant,INK,M,1,OUT,TRUE,Damaged,PARKER,1254729,,1201,TRUE
1/10/2021,VW409,Clean Elevation Legging ,HCC,S,1,OUT,TRUE,Damaged,PARKER,1254729,,1201,TRUE
1/10/2021,VW409,Clean Elevation Legging ,HOR,M,1,OUT,TRUE,Damaged,PARKER,1254729,,1201,TRUE
1/10/2021,VW243,Catalina Crew,HTG,L,1,OUT,TRUE,Damaged,PARKER,1254729,,1201,TRUE
1/10/2021,V126,Strato Tech Tee,HNV,XL,1,OUT,TRUE,Damaged,PARKER,1254729,,1201,TRUE
1/15/2021,VW323,Daily Legging ,BLK,S,1,OUT,TRUE,Damage,PARKER,1277847,,1229,TRUE
1/15/2021,VW226,Halo Essential Hoodie,BCM,L,1,OUT,TRUE,Damage,PARKER,1277847,,1229,TRUE
1/15/2021,V416,Sunday Performance Jogger,HCC,S,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW303,Performance Jogger,HNV,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW303,Performance Jogger,HTG,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V416,Sunday Performance Jogger,HCC,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V412,Ripstop Climber Pant,ARM,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW325,Elevation Performance Legging ,BCM,S,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V302,Kore Short,IND,M,1,in,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V302,KoreShort,IND,S,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW169,Mudra Fitted Tee,BLK,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW303,Performance Jogger,BLK,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW323,Daily Legging ,GMO,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V218,Jeffreys Pullover,HTG,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V416,Sunday Performance Jogger,OXB,M,2,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW226,Halo Essential Hoodie,HCC,S,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW303,Performance Jogger,BLK,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V820,California Beanie,MUS,ONS,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V109,Tradewind  Performance Tee,BLK,XL,2,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW240,L/S Solstice Tee,HCC,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V224,Ponto Performnace Crew,HDG,L,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V224,Ponto Performance Crew,HTI,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V418,Ponto Performance Pant,HTI,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V164,Ace Polo,IND,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V178,L/S Strato Tech Tee,HTG,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW303,Performance Jogger,HCE,XS,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,VW303,Performance Jogger - Long,HCC,S,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V947,Intuition Tee,Navy,XL,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V518,Soco Zip Up,BLK,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V302,Kore Short,CCL,XXL,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/15/2021,V101,Tuvalu Tee,BLK,XL,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/16/2021,VW303,Performance Jogger,HTG,S,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/16/2021,V178,L/S Strato Tech Tee,HTG,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/16/2021,V218,Jeffreys Pullover,HTI,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/16/2021,V416,Sunday Performance Jogger,HCC,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/16/2021,VW243,Catalina Crew,HTG,M,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/16/2021,VW427,Lux Harem,HCA,S,1,IN,TRUE,Gift return ,PARKER,1270,2046,1230,TRUE
1/21/2021,V346,Stockton Short,BCM,L,1,IN,TRUE,Gift return ,PARKER,1284,2066,1250,TRUE
1/21/2021,V330,Banks Short,NCM,L,1,IN,TRUE,Gift return ,PARKER,1284,2066,1250,TRUE
1/21/2021,VW404,Wayfarer Pant,ORE,S,1,IN,TRUE,Gift return ,PARKER,1284,2066,1250,TRUE
1/21/2021,V221,Ease Performance 1/2 Zip,HIN,M,1,IN,TRUE,Gift return ,PARKER,1284,2066,1250,TRUE
1/21/2021,V164,Ace Polo,LTG,M,1,IN,TRUE,Gift return ,PARKER,1284,2066,1250,TRUE
1/21/2021,V416,Sunday Performance Jogger,BLG,M,1,IN,TRUE,Gift return ,PARKER,1284,2066,1250,TRUE
1/21/2021,V188,Strato Tech Polo,HNV,L,1,IN,TRUE,Gift return ,PARKER,1284,2066,1250,TRUE
1/21/2021,V367,"Kore short 5""",BWC,L,1,IN,TRUE,Gift return ,PARKER,1284,2066,1250,TRUE
1/21/2021,VW303,Performance Jogger,HCL,L,1,IN,TRUE,Gift return ,PARKER,1284,2066,1250,TRUE
1/22/0201,VW226,Halo Essential Hoodie,BCM,M,1,OUT,TRUE,Damage,PARKER,1299873,,1255,TRUE
1/22/2021,V418,Ponto Performance Pant,HCC,L,1,OUT,TRUE,Damage,PARKER,1299873,,1255,TRUE
1/22/2021,VE303,Performance Jogger,BLK,M,1,OUT,TRUE,Damage,PARKER,1299873,,1255,TRUE
1/22/2021,VW123,Energy Top,WHT,S,1,OUT,TRUE,Damage,PARKER,1299873,,1255,TRUE
1/22/2021,V406,Balboa Pant,BLK,M,1,OUT,TRUE,Damage,PARKER,1299873,,1255,TRUE
1/22/2021,V420,EVERYTHING CHINO,INK,34,1,OUT,TRUE,DAMAGE,PARKER,1299873,,1255,TRUE
1/22/2021,VW325,ELEVATION LEGGING,HCE,M,1,OUT,TRUE,DAMAGE,PARKER,1299873,,1255,TRUE
1/22/2021,VW325,ELEVATION LEGGING,BCM,S,1,OUT,TRUE,DAMAGE,PARKER,1299873,,1255,TRUE
1/22/2021,VW347,Laguna Lounge Pant,INK,S,1,OUT,TRUE,DAMAGE,PARKER,1299873,,1255,TRUE
1/22/2021,VW339,HALO SHORT ,HTG,L,1,OUT,TRUE,DAMAGE,PARKER,1299873,,1255,TRUE
1/22/2021,VW427,Lux Harem,HCA,S,1,OUT,TRUE,DAMAGE,PARKER,1299873,,1255,TRUE
1/27/2021,V344,Ponto Short,HTG,L,1,IN,TRUE,Lightspeed Return,Savanah,1288,2071,1260,TRUE
1/27/2021,V412,Ripstop Climber Pant,KHK,M,1,IN,TRUE,LightSpeed Return,Savanah,1288,2071,1260,TRUE
1/27/2021,V528,Topanga Insulated Jacket,COG,L,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,VW323,Daily Legging ,SPC,S,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V416,Sunday Performance Jogger,HCC,L,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,VW303,Performance Joggers,BCM,S,1,OUT,TRUE,Damaged ,Savanah,1306264,,1258,TRUE
1/27/2021,VW303,Performance Joggers,BCM,XS,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,VW510,Truckee Insulated Vest,BCM,L,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V109,Tradewind  Performance Tee,HTG,L,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V224,Ponto Performance Crew,HTI,XL,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V418,Ponto Performance Pant,HCC,M,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V418,Ponto Performance Pant,HCC,XL,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V126,Strato Tech Tee,HTG,M,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V418,Ponto Performance Pant,HCC,M,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V201,Movement Hoodie,BLK,L,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V101,Tuvalu Tee,COP,M,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V101,Tuvalu Tee,CCO,L,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,VW303,Performance Joggers,BLK,L,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V416,Sunday Performance Jogger,BLK,S,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V416,Sunday Performance Jogger,HCC,S,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,VW303,Performance Joggers,BCM,XS,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,VW323,Daily Legging ,BCM,S,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,VW325,Elevation Performance Legging ,LHG,S,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V412,Ripstop Climber Pant,ARM,M,2,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,VW303-L,Performance Jogger - Long,BLK,S,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V433,Collins Chino Pant,BLK,33,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V330,Banks Short ,BCM,M,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,V412,Ripstop Climber Pant,CCL,M,1,OUT,TRUE,Damaged,Savanah,1306264,,1258,TRUE
1/27/2021,VW235,Restore Crew,WBL,M,1,OUT,TRUE,Damaged ,Savanah,1306264,,1258,TRUE
1/27/2021,V815,Vuori Performance Hat,HCC,ONS,1,IN,TRUE,Giftcard,Savanah,1288,2071,1259,TRUE
1/27/2021,VW347,Laguna Lounge Pant,HTG,S,1,IN,TRUE,Giftcard,Savanah,1288,2071,1259,TRUE
1/27/2021,V528,Topanga Insulated Jacket,COG,L,1,IN,TRUE,Lighspeed Return Giftcard,Savanah,1288,2071,1259,TRUE
1/27/2021,V218,Jeffery Pullover,NAT,XL,1,IN,TRUE,Lighspeed Return Giftcard,Savanah,1293,2078,1264,TRUE
1/27/2021,VW347,Laguna Lounge Pant,HZL,XL,1,IN,TRUE,LightSpeed Return Giftcard,Savanah,1293,2078,1264,TRUE
1/27/2021,V418,Ponto Performance Pant,HCC,M,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/27/2021,V177,L/S Tradewind Performance T,HTG,M,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/27/2021,VW303,Performance Jogger,HNV,XS,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/27/2021,V418,Ponto Performance Pant,HTI,L,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/27/2021,V418,Ponto Performance Pant,HTG,L,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/27/2021,V314,Cruise Boardshort,CMD,30,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/27/2021,V420,Everything Chino ,BLK,32,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/27/2021,VW404,Wayfarer Pant,CLY,S,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/27/2021,V412,Ripstop Climber Pant,CCL,S,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/28/2021,VW108,Lux Performance Tank,HCE,M,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/28/2021,vw108,Lux Performance Tank,HDS,S,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/28/2021,VW235,Restore Crew,WBL,XL,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/28/2021,V109,Tradewind  Performance Tee,HCL,M,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/28/2021,V101,Tuvalu Tee,BLK,M,1,IN,TRUE,Gift Card,Savanah,1293,2078,1264,TRUE
1/28/2021,VW235,Restore Crew,WBL,XL,1,OUT,TRUE,Damaged,Savanah,1318981,,1263,TRUE
1/28/2021,VW159,Lux Scoop Tee,SHA,M,1,OUT,TRUE,Damaged,Savanah,1318981,,1263,TRUE
1/27/2021,VW347,Laguna Lounge Pant,HZL,XL,1,OUT,TRUE,Damaged,Savanah,1318981,,1263,TRUE
2/2/2021,VW409,Clean Elevation Legging ,HCC,XS,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW427,Lux Harem,HCA,S,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW409,Clean Elevation Legging ,HCC,M,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW240,L/S Solstice Tee,HCA,S,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW339,Halo Performance Short,HDG,L,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,V416,Sunday Performance Jogger,HCC,S,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW323,Daily Legging ,SPC,XS,2,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW323,Daily Legging ,HCC,S,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW323,Daily Legging ,GMO,S,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,V416,Sunday Performance Jogger,BLK,L,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,V418,Ponto Performance Pant,HCC,M,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW303,Performance Joggers,NVY,XS,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW136,Elevation Bra,BCM,S,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW220,Cresent 1/2 Zip,HTG,XS,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW323,Daily Legging ,INK,M,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,V950,Waves Mountain Sun Tee,Light Grey,XL,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,V418,Ponto Performance Pant,HCC,L,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,VW325,Elevation Performance Legging ,BCM,M,1,OUT,TRUE,Damaged,Savanah,1325903,,1278,TRUE
2/2/2021,V242,Seaside Hoodie,BLK,L,1,IN,TRUE,Gift return ,Savanah,1297,2085,1279,TRUE
2/2/2021,V416,Sunday Performance Jogger,BLG,L,1,IN,TRUE,Gift return ,Savanah,1297,2085,1279,TRUE
2/2/2021,VW409,Clean Elevation Legging ,HOR,L,1,IN,TRUE,Gift return ,Savanah,1297,2085,1279,TRUE
