UPC,Style#,Style Desc,Size,Clr Desc,Division Desc,Clr, MSRP ,Size Type,Size Range Desc.,Division,Curr,,,,,
867810000046,V101,Tuvalu Tee,XL,Black,Mens,BLK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810003580,V101,Tuvalu Tee,XXL,Black,Mens,BLK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000114,V101,Tuvalu Tee,L,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000107,V101,Tuvalu Tee,M,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000091,V101,Tuvalu Tee,S,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000121,V101,Tuvalu Tee,XL,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084112791,V101,Tuvalu Tee,XXL,Burgundy,Mens,BRG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028321,V101,Tuvalu Tee,L,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028314,V101,Tuvalu Tee,M,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028307,V101,Tuvalu Tee,S,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028338,V101,Tuvalu Tee,XL,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028345,V101,Tuvalu Tee,XXL,Charcoal,Mens,CCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163410,V101,Tuvalu Tee,L,Cocoa,Mens,CCO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163403,V101,Tuvalu Tee,M,Cocoa,Mens,CCO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163397,V101,Tuvalu Tee,S,Cocoa,Mens,CCO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163427,V101,Tuvalu Tee,XL,Cocoa,Mens,CCO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163434,V101,Tuvalu Tee,XXL,Cocoa,Mens,CCO, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084193554,V101,Tuvalu Tee,L,Cloud,Mens,CLD, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084193547,V101,Tuvalu Tee,M,Cloud,Mens,CLD, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084193530,V101,Tuvalu Tee,S,Cloud,Mens,CLD, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084193561,V101,Tuvalu Tee,XL,Cloud,Mens,CLD, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084193578,V101,Tuvalu Tee,XXL,Cloud,Mens,CLD, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028277,V101,Tuvalu Tee,L,Canyon,Mens,CNY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028260,V101,Tuvalu Tee,M,Canyon,Mens,CNY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028253,V101,Tuvalu Tee,S,Canyon,Mens,CNY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028284,V101,Tuvalu Tee,XL,Canyon,Mens,CNY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
817718028291,V101,Tuvalu Tee,XXL,Canyon,Mens,CNY, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163465,V101,Tuvalu Tee,L,Cognac,Mens,COG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163458,V101,Tuvalu Tee,M,Cognac,Mens,COG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163441,V101,Tuvalu Tee,S,Cognac,Mens,COG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163472,V101,Tuvalu Tee,XL,Cognac,Mens,COG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163489,V101,Tuvalu Tee,XXL,Cognac,Mens,COG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163519,V101,Tuvalu Tee,L,Copper,Mens,COP, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163502,V101,Tuvalu Tee,M,Copper,Mens,COP, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163496,V101,Tuvalu Tee,S,Copper,Mens,COP, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163526,V101,Tuvalu Tee,XL,Copper,Mens,COP, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084163533,V101,Tuvalu Tee,XXL,Copper,Mens,COP, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126316,V101,Tuvalu Tee,L,Evergreen,Mens,EVG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126309,V101,Tuvalu Tee,M,Evergreen,Mens,EVG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126293,V101,Tuvalu Tee,S,Evergreen,Mens,EVG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126323,V101,Tuvalu Tee,XL,Evergreen,Mens,EVG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126330,V101,Tuvalu Tee,XXL,Evergreen,Mens,EVG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103539,V101,Tuvalu Tee,L,Glacier,Mens,GLC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103522,V101,Tuvalu Tee,M,Glacier,Mens,GLC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103515,V101,Tuvalu Tee,S,Glacier,Mens,GLC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103546,V101,Tuvalu Tee,XL,Glacier,Mens,GLC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084103553,V101,Tuvalu Tee,XXL,Glacier,Mens,GLC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810008011,V101,Tuvalu Tee,L,Charcoal Heather,Mens,HCC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810007960,V101,Tuvalu Tee,M,Charcoal Heather,Mens,HCC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810007748,V101,Tuvalu Tee,S,Charcoal Heather,Mens,HCC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810008073,V101,Tuvalu Tee,XL,Charcoal Heather,Mens,HCC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810008127,V101,Tuvalu Tee,XXL,Charcoal Heather,Mens,HCC, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810007151,V101,Tuvalu Tee,L,Heather Grey,Mens,HTG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810007144,V101,Tuvalu Tee,M,Heather Grey,Mens,HTG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810007137,V101,Tuvalu Tee,S,Heather Grey,Mens,HTG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810007168,V101,Tuvalu Tee,XL,Heather Grey,Mens,HTG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810003597,V101,Tuvalu Tee,XXL,Heather Grey,Mens,HTG, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126361,V101,Tuvalu Tee,L,Ink,Mens,INK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126354,V101,Tuvalu Tee,M,Ink,Mens,INK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126347,V101,Tuvalu Tee,S,Ink,Mens,INK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126378,V101,Tuvalu Tee,XL,Ink,Mens,INK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084126385,V101,Tuvalu Tee,XXL,Ink,Mens,INK, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084137428,V101,Tuvalu Tee,L,Melon,Mens,MEL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084137411,V101,Tuvalu Tee,M,Melon,Mens,MEL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084137404,V101,Tuvalu Tee,S,Melon,Mens,MEL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084137435,V101,Tuvalu Tee,XL,Melon,Mens,MEL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084137442,V101,Tuvalu Tee,XXL,Melon,Mens,MEL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000152,V101,Tuvalu Tee,L,Mint,Mens,MNT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000145,V101,Tuvalu Tee,M,Mint,Mens,MNT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000138,V101,Tuvalu Tee,S,Mint,Mens,MNT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000169,V101,Tuvalu Tee,XL,Mint,Mens,MNT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084112807,V101,Tuvalu Tee,XXL,Mint,Mens,MNT, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000190,V101,Tuvalu Tee,L,Ocean,Mens,OCN, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000183,V101,Tuvalu Tee,M,Ocean,Mens,OCN, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000176,V101,Tuvalu Tee,S,Ocean,Mens,OCN, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
867810000206,V101,Tuvalu Tee,XL,Ocean,Mens,OCN, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
,V101,Tuvalu Tee,XXL,Ocean,Mens,OCN, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084109715,V101,Tuvalu Tee,L,Olive,Mens,OLV, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084109708,V101,Tuvalu Tee,M,Olive,Mens,OLV, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084109692,V101,Tuvalu Tee,S,Olive,Mens,OLV, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084109722,V101,Tuvalu Tee,XL,Olive,Mens,OLV, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084109739,V101,Tuvalu Tee,XXL,Olive,Mens,OLV, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084177011,V101,Tuvalu Tee,L,Oregano,Mens,ORE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084177004,V101,Tuvalu Tee,M,Oregano,Mens,ORE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084176991,V101,Tuvalu Tee,S,Oregano,Mens,ORE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084177028,V101,Tuvalu Tee,XL,Oregano,Mens,ORE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084177035,V101,Tuvalu Tee,XXL,Oregano,Mens,ORE, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084177066,V101,Tuvalu Tee,L,Platinum,Mens,PTM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084177059,V101,Tuvalu Tee,M,Platinum,Mens,PTM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084177042,V101,Tuvalu Tee,S,Platinum,Mens,PTM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084177073,V101,Tuvalu Tee,XL,Platinum,Mens,PTM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084177080,V101,Tuvalu Tee,XXL,Platinum,Mens,PTM, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714614,V101,Tuvalu Tee,L,Red Clay,Mens,RCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714607,V101,Tuvalu Tee,M,Red Clay,Mens,RCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714591,V101,Tuvalu Tee,S,Red Clay,Mens,RCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714621,V101,Tuvalu Tee,XL,Red Clay,Mens,RCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
840159714638,V101,Tuvalu Tee,XXL,Red Clay,Mens,RCL, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
843084120994,V101,Tuvalu Tee,L,Saffron,Mens,SAF, $ 48.00 ,_,Men's Standard Tops,MN,USD,,,,,
