Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Platinum Heather,Platinum Heather / XL,V244HPTXLG,843084179626,,,,,12.0,48.0,oz,delivered,03/24/2021 at 16:37,110.00,350,4,N/A,N/A,,,,
T2842,Vuori Clothing,Ponto Performance Half Zip Hoodie | Platinum Heather,Platinum Heather / XXL,V244HPTXXL,843084179633,,,,,12.0,24.0,oz,delivered,03/24/2021 at 16:37,110.00,75,2,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Charcoal,Charcoal / L,V245CCLLRG,843084179664,,,,,12.32,73.92,oz,delivered,03/24/2021 at 16:37,68.00,249,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Charcoal,Charcoal / M,V245CCLMED,843084179657,,,,,12.32,73.92,oz,delivered,03/24/2021 at 16:37,68.00,224,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Charcoal,Charcoal / S,V245CCLSML,843084179640,,,,,12.32,49.28,oz,delivered,03/24/2021 at 16:37,68.00,55,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Charcoal,Charcoal / XL,V245CCLXLG,843084179671,,,,,12.32,49.28,oz,delivered,03/24/2021 at 16:37,68.00,126,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Charcoal,Charcoal / XXL,V245CCLXXL,843084179688,,,,,12.32,24.64,oz,delivered,03/24/2021 at 16:37,68.00,19,2,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Salt,Salt / L,V245SALLRG,843084179718,,,,,12.32,73.92,oz,delivered,03/24/2021 at 16:37,68.00,267,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Salt,Salt / M,V245SALMED,843084179701,,,,,12.32,73.92,oz,delivered,03/24/2021 at 16:37,68.00,220,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Salt,Salt / S,V245SALSML,843084179695,,,,,12.32,49.28,oz,delivered,03/24/2021 at 16:37,68.00,60,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Salt,Salt / XL,V245SALXLG,843084179725,,,,,12.32,49.28,oz,delivered,03/24/2021 at 16:37,68.00,150,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Salt,Salt / XXL,V245SALXXL,843084179732,,,,,12.32,24.64,oz,delivered,03/24/2021 at 16:37,68.00,28,2,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Terracotta,Terracotta / L,V245TERLRG,843084179763,,,,,12.32,73.92,oz,delivered,03/24/2021 at 16:37,68.00,406,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Terracotta,Terracotta / M,V245TERMED,843084179756,,,,,12.32,73.92,oz,delivered,03/24/2021 at 16:37,68.00,359,6,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Terracotta,Terracotta / S,V245TERSML,843084179749,,,,,12.32,49.28,oz,delivered,03/24/2021 at 16:37,68.00,96,4,N/A,N/A,,,,
T2842,Vuori Clothing,Vital Crew | Terracotta,Terracotta / XL,V245TERXLG,843084179770,,,,,12.32,49.28,oz,delivered,03/24/2021 at 16:37,68.00,222,4,N/A,N/A,,,,
