Purchase Order,Vendor/Supplier,Product,Variant,SKU,Barcode,Supplier Code,ASIN,minimum_stock_quantity,Date 1,Weight,Total Weight,Weight Unit,Status,Received at,Retail Price,In Stock,Qty Ordered,Pack Size,Qty (packs) Ordered,Cost (base),Total Cost (base),Cost (supplier currency),Total Cost (supplier currency)
T2840,Vuori Clothing,Long-Sleeve Tradewind Performance Tee | Mineral Heather,Mineral Heather / XL,V177HMIXLG,843084177875,,,,,6.56,13.12,oz,delivered,03/25/2021 at 14:46,58.00,175,2,N/A,N/A,,,,
T2840,Vuori Clothing,Long-Sleeve Tradewind Performance Tee | Mineral Heather,Mineral Heather / XXL,V177HMIXXL,843084177882,,,,,6.56,6.56,oz,delivered,03/25/2021 at 14:46,58.00,42,1,N/A,N/A,,,,
T2840,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / L,V188HPTLRG,843084178612,,,,,5.12,20.48,oz,delivered,03/25/2021 at 14:46,54.00,410,4,N/A,N/A,,,,
T2840,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / M,V188HPTMED,843084178605,,,,,5.12,20.48,oz,delivered,03/25/2021 at 14:46,54.00,263,4,N/A,N/A,,,,
T2840,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / S,V188HPTSML,843084178599,,,,,5.12,15.36,oz,delivered,03/25/2021 at 14:46,54.00,69,3,N/A,N/A,,,,
T2840,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / XL,V188HPTXLG,843084178629,,,,,5.12,10.24,oz,delivered,03/25/2021 at 14:46,54.00,164,2,N/A,N/A,,,,
T2840,Vuori Clothing,Strato Tech Polo | Platinum Heather,Platinum Heather / XXL,V188HPTXXL,843084178636,,,,,5.12,5.12,oz,delivered,03/25/2021 at 14:46,54.00,31,1,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / L,V224HFLLRG,843084179169,,,,,9.92,59.52,oz,delivered,03/25/2021 at 14:46,98.00,430,6,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / M,V224HFLMED,843084179152,,,,,9.92,59.52,oz,delivered,03/25/2021 at 14:46,98.00,315,6,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / S,V224HFLSML,843084179145,,,,,9.92,39.68,oz,delivered,03/25/2021 at 14:46,98.00,54,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / XL,V224HFLXLG,843084179176,,,,,9.92,39.68,oz,delivered,03/25/2021 at 14:46,98.00,226,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Flax Heather,Flax Heather / XXL,V224HFLXXL,843084179183,,,,,9.92,19.84,oz,delivered,03/25/2021 at 14:46,98.00,30,2,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / L,V224HORLRG,843084179213,,,,,9.92,59.52,oz,delivered,03/25/2021 at 14:46,98.00,262,6,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / M,V224HORMED,843084179206,,,,,9.92,59.52,oz,delivered,03/25/2021 at 14:46,98.00,203,6,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / S,V224HORSML,843084179190,,,,,9.92,39.68,oz,delivered,03/25/2021 at 14:46,98.00,40,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / XL,V224HORXLG,843084179220,,,,,9.92,39.68,oz,delivered,03/25/2021 at 14:46,98.00,144,4,N/A,N/A,,,,
T2840,Vuori Clothing,Ponto Performance Crew | Oregano Heather,Oregano Heather / XXL,V224HORXXL,843084179237,,,,,9.92,19.84,oz,delivered,03/25/2021 at 14:46,98.00,5,2,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Charcoal,Charcoal / L,V245CCLLRG,843084179664,,,,,12.32,49.28,oz,delivered,03/25/2021 at 14:46,68.00,253,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Charcoal,Charcoal / M,V245CCLMED,843084179657,,,,,12.32,49.28,oz,delivered,03/25/2021 at 14:46,68.00,227,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Charcoal,Charcoal / S,V245CCLSML,843084179640,,,,,12.32,36.96,oz,delivered,03/25/2021 at 14:46,68.00,58,3,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Charcoal,Charcoal / XL,V245CCLXLG,843084179671,,,,,12.32,24.64,oz,delivered,03/25/2021 at 14:46,68.00,126,2,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Charcoal,Charcoal / XXL,V245CCLXXL,843084179688,,,,,12.32,12.32,oz,delivered,03/25/2021 at 14:46,68.00,19,1,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Salt,Salt / L,V245SALLRG,843084179718,,,,,12.32,49.28,oz,delivered,03/25/2021 at 14:46,68.00,268,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Salt,Salt / M,V245SALMED,843084179701,,,,,12.32,49.28,oz,delivered,03/25/2021 at 14:46,68.00,222,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Salt,Salt / S,V245SALSML,843084179695,,,,,12.32,36.96,oz,delivered,03/25/2021 at 14:46,68.00,62,3,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Salt,Salt / XL,V245SALXLG,843084179725,,,,,12.32,24.64,oz,delivered,03/25/2021 at 14:46,68.00,149,2,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Salt,Salt / XXL,V245SALXXL,843084179732,,,,,12.32,12.32,oz,delivered,03/25/2021 at 14:46,68.00,29,1,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Terracotta,Terracotta / L,V245TERLRG,843084179763,,,,,12.32,49.28,oz,delivered,03/25/2021 at 14:46,68.00,408,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Terracotta,Terracotta / M,V245TERMED,843084179756,,,,,12.32,49.28,oz,delivered,03/25/2021 at 14:46,68.00,362,4,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Terracotta,Terracotta / S,V245TERSML,843084179749,,,,,12.32,36.96,oz,delivered,03/25/2021 at 14:46,68.00,99,3,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Terracotta,Terracotta / XL,V245TERXLG,843084179770,,,,,12.32,24.64,oz,delivered,03/25/2021 at 14:46,68.00,223,2,N/A,N/A,,,,
T2840,Vuori Clothing,Vital Crew | Terracotta,Terracotta / XXL,V245TERXXL,843084179787,,,,,12.32,12.32,oz,delivered,03/25/2021 at 14:46,68.00,49,1,N/A,N/A,,,,
T2840,Vuori Clothing,Kore Short | Kelp,Kelp / L,V302KELLRG,843084179947,,,,,8.8,52.8,oz,delivered,03/25/2021 at 14:46,68.00,278,6,N/A,N/A,,,,
T2840,Vuori Clothing,Kore Short | Kelp,Kelp / M,V302KELMED,843084179930,,,,,8.8,52.8,oz,delivered,03/25/2021 at 14:46,68.00,210,6,N/A,N/A,,,,
T2840,Vuori Clothing,Kore Short | Kelp,Kelp / S,V302KELSML,843084179923,,,,,8.8,35.2,oz,delivered,03/25/2021 at 14:46,68.00,232,4,N/A,N/A,,,,
T2840,Vuori Clothing,Kore Short | Kelp,Kelp / XL,V302KELXLG,843084179954,,,,,8.8,35.2,oz,delivered,03/25/2021 at 14:46,68.00,264,4,N/A,N/A,,,,
T2840,Vuori Clothing,Kore Short | Kelp,Kelp / XXL,V302KELXXL,843084179961,,,,,8.8,17.6,oz,delivered,03/25/2021 at 14:46,68.00,20,2,N/A,N/A,,,,
