Trnf#,Line,Priority,Sts,Style,Clr,Style Description,Color Description,Size Type,Size,O Qty,Shp Qty,Rec Qty,Style Color Std Cost,Trns Value,Markdown MSRP,Outlet MSRP,Wholesale Price,Segment Code,Inventory Classification,Sts,Prt,From,To,Cost,Via,Reference,Ent Date,Shp Date,Rec Date,ETA Date,Order,Fabric Content,HTS Code,Hts Description,Country Of Origin,COO Description,Style Color FOB,BOL #,Division,Division Description,Label,Label Description,Category,Category Description,NAFTA Compliant,UPC Code
2844,140,,O,V416,BLK,Sunday Performance Jogger,Black,_,XXL,1,1,0,18.68,18.68,0,0,44.5,,COLD,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,88% Polyester 12% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.17718E+11
2844,150,,O,V416,HCC,Sunday Performance Jogger,Charcoal Heather,_,M,2,2,0,18.68,37.36,0,0,44.5,,COLD,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,88% Polyester 12% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,160,,O,V416,IND,Sunday Performance Jogger,Indigo,_,L,2,2,0,18.68,37.36,0,0,44.5,,COLD,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,88% Polyester 12% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,170,,O,V416,TOH,Sunday Performance Jogger,Tobacco Heather,_,M,1,1,0,18.68,18.68,0,0,44.5,,COLD,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,88% Polyester 12% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,170,,O,V416,TOH,Sunday Performance Jogger,Tobacco Heather,_,L,1,1,0,18.68,18.68,0,0,44.5,,COLD,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,88% Polyester 12% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,170,,O,V416,TOH,Sunday Performance Jogger,Tobacco Heather,_,XL,1,1,0,18.68,18.68,0,0,44.5,,COLD,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,88% Polyester 12% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,180,,O,V418,HCC,Ponto Performance Pant,Charcoal Heather,_,L,1,1,0,23.2,23.2,0,0,42,,COLD,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,13.86,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.6781E+11
2844,190,,O,V418,HTI,Ponto Performance Pant,Indigo Heather,_,L,1,1,0,23.2,23.2,0,0,42,,COLD,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,13.86,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,200,,O,V429,IND,Fleet Pant,Indigo,_,M,2,2,0,30.2,60.4,0,0,57.5,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,79% Recycled Nylon 21% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,200,,O,V429,IND,Fleet Pant,Indigo,_,L,1,1,0,30.2,30.2,0,0,57.5,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,79% Recycled Nylon 21% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,210,,O,V429,TOB,Fleet Pant,Tobacco,_,L,1,1,0,30.2,30.2,0,0,57.5,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,79% Recycled Nylon 21% Elastane,6103.43.1520,MENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,220,,O,V430,CCL,Meta Pant,Charcoal,_,32,1,1,0,25.2,25.2,0,0,49,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,100% Polyester,6203.43.9010,MENS WOVEN PANTS,CN,CHINA,0,1Z9X8W620300506357,MN,MEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,230,,O,VW104,BCM,Yosemite Bra,Black Camo,_,S,1,1,0,12.7,12.7,0,0,24,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,72% Polyester 28% Elastane,6212.10.9020,WOMENS KNIT SPORTSBRAS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C2,SPORTSBRAS,AP,APPAREL,N,8.17718E+11
2844,240,,O,VW123,ORE,Energy Top,Oregano,_,M,1,1,0,10.7,10.7,0,0,26,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,96% Polyester 4% Elastane,6110.30.3059,WOMENS KNIT TOPS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,250,,O,VW123,TER,Energy Top,Terracotta,_,S,1,1,0,10.7,10.7,0,0,26,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,96% Polyester 4% Elastane,6110.30.3059,WOMENS KNIT TOPS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,260,,O,VW142,HCC,Plyo Tank,Charcoal Heather,_,S,1,1,0,14.9,14.9,0,0,29,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,47% Nylon 43% Polyester 10% Elastane,6109.90.1065,WOMENS KNIT TOPS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,270,,O,VW156,BLK,Coast Tee,Black,_,S,1,1,0,10.7,10.7,0,0,24,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,96% Pima Cotton with SeaCell 4% Elastane,6110.30.3059,WOMENS KNIT TOPS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,270,,O,VW156,BLK,Coast Tee,Black,_,L,1,1,0,10.7,10.7,0,0,24,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,96% Pima Cotton with SeaCell 4% Elastane,6110.30.3059,WOMENS KNIT TOPS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,280,,O,VW156,WHT,Coast Tee,White,_,XS,1,1,0,10.7,10.7,0,0,24,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,96% Pima Cotton with SeaCell 4% Elastane,6110.30.3059,WOMENS KNIT TOPS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
2844,290,,O,VW158,BLK,Daily Bra,Black,_,S,1,1,0,12.6,12.6,0,0,24,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,72% Polyester 28% Elastane,6212.10.9020,WOMENS KNIT SPORTSBRAS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C2,SPORTSBRAS,AP,APPAREL,N,8.43084E+11
2844,300,,O,VW201,BLK,Halo Performance Hoodie,Black,_,XS,1,1,0,24.95,24.95,0,0,44.5,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6110.30.3045,WOMENS KNIT FLEECE,CN,CHINA,16.26,1Z9X8W620300506357,WN,WOMEN'S,C6,FLEECE,AP,APPAREL,N,8.17718E+11
2844,300,,O,VW201,BLK,Halo Performance Hoodie,Black,_,L,2,2,0,24.95,49.9,0,0,44.5,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6110.30.3045,WOMENS KNIT FLEECE,CN,CHINA,16.26,1Z9X8W620300506357,WN,WOMEN'S,C6,FLEECE,AP,APPAREL,N,8.17718E+11
2844,310,,O,VW201,PHG,Halo Performance Hoodie,Pale Grey Heather,_,L,1,1,0,24.95,24.95,0,0,44.5,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6110.30.3045,WOMENS KNIT FLEECE,CN,CHINA,16.26,1Z9X8W620300506357,WN,WOMEN'S,C6,FLEECE,AP,APPAREL,N,8.43084E+11
2844,320,,O,VW235,BIS,Restore Crew,Bisque,_,M,1,1,0,19.91,19.91,0,0,39,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,66% Cotton 34% Polyester,,,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C6,FLEECE,AP,APPAREL,N,8.43084E+11
2844,330,,O,VW235,GDN,Restore Crew,Golden,_,M,2,2,0,19.91,39.82,0,0,39,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,66% Cotton 34% Polyester,,,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,C6,FLEECE,AP,APPAREL,N,8.43084E+11
2844,340,,O,VW303,BCM,Performance Jogger,Black Camo,_,XS,2,2,0,18.4,36.8,0,0,42,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6104.63.2011,WOMENS KNIT PANTS,CN,CHINA,20,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,350,,O,VW303,BLK,Performance Jogger,Black,_,XS,2,2,0,18.4,36.8,0,0,42,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6104.63.2011,WOMENS KNIT PANTS,CN,CHINA,20,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.6781E+11
2844,360,,O,VW303,HBC,Performance Jogger,Burnt Clay Heather,_,S,3,3,0,18.4,55.2,0,0,42,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6104.63.2011,WOMENS KNIT PANTS,CN,CHINA,20,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,360,,O,VW303,HBC,Performance Jogger,Burnt Clay Heather,_,M,2,2,0,18.4,36.8,0,0,42,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6104.63.2011,WOMENS KNIT PANTS,CN,CHINA,20,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,370,,O,VW303,HCC,Performance Jogger,Charcoal Heather,_,S,1,1,0,18.4,18.4,0,0,42,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6104.63.2011,WOMENS KNIT PANTS,CN,CHINA,20,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.6781E+11
2844,380,,O,VW303,HCL,Performance Jogger,Cloud Heather,_,XS,3,3,0,18.4,55.2,0,0,42,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,89% Recycled Polyester 11% Elastane,6104.63.2011,WOMENS KNIT PANTS,CN,CHINA,20,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,390,,O,VW323,BLK,Daily Legging,Black,_,S,1,1,0,19.45,19.45,0,0,42,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,72% Polyester 28% Elastane,6104.63.2011,WOMENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,390,,O,VW323,BLK,Daily Legging,Black,_,L,2,2,0,19.45,38.9,0,0,42,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,72% Polyester 28% Elastane,6104.63.2011,WOMENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,400,,O,VW323,CCL,Daily Legging,Charcoal,_,S,1,1,0,19.45,19.45,0,0,42,,STND,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,72% Polyester 28% Elastane,6104.63.2011,WOMENS KNIT PANTS,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
2844,410,,O,VW381,BCM,Clean Elevation Shorty,Black Camo,_,S,2,2,0,14.18,28.36,0,0,27,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,87% Recycled Polyester 13% Elastane,,,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,CA,SHORTS,AP,APPAREL,N,8.4016E+11
2844,420,,O,VW409,HOR,Clean Elevation Legging,Oregano Heather,_,S,1,1,0,20.55,20.55,0,0,44.5,,,T,,A1,V3,FOB,U11,TO2844 SAN FRANCISCO,3/22/2021,3/23/2021,3/25/2021,3/26/2021,1559255,87% Recycled Polyester 13% Elastane,,,CN,CHINA,0,1Z9X8W620300506357,WN,WOMEN'S,CB,PANTS,AP,APPAREL,N,8.43084E+11
3410,10,,O,V164,CCL,Ace Polo,Charcoal,_,S,3,3,0,16.48,49.44,0,0,34.5,,,T,,A1,V3,FOB,U11,@SP21 D3 NEW - SF,4/21/2021,4/22/2021,4/26/2021,4/25/2021,1691718,50% Recycled Polyester 50% Polyester,6203.43.9030,MENS WOVEN BOARDSHORTS,CN,CHINA,0,1Z9X8W620300539090,MN,MEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
3410,10,,O,V164,CCL,Ace Polo,Charcoal,_,M,4,4,0,16.48,65.92,0,0,34.5,,,T,,A1,V3,FOB,U11,@SP21 D3 NEW - SF,4/21/2021,4/22/2021,4/26/2021,4/25/2021,1691718,50% Recycled Polyester 50% Polyester,6203.43.9030,MENS WOVEN BOARDSHORTS,CN,CHINA,0,1Z9X8W620300539090,MN,MEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
3410,10,,O,V164,CCL,Ace Polo,Charcoal,_,L,4,4,0,16.48,65.92,0,0,34.5,,,T,,A1,V3,FOB,U11,@SP21 D3 NEW - SF,4/21/2021,4/22/2021,4/26/2021,4/25/2021,1691718,50% Recycled Polyester 50% Polyester,6203.43.9030,MENS WOVEN BOARDSHORTS,CN,CHINA,0,1Z9X8W620300539090,MN,MEN'S,C1,TOPS,AP,APPAREL,N,8.43084E+11
