Product,Variant,SKU,Barcode,Shopify ID,Weight,Vendor,Product Type,Custom Text Field,Custom Date Field,Retail Price,Cost Price,Unfulfilled,On Order,Expected Stock,Actual Stock,Adjustment,Adjustment Cost
Daily Legging | Black,Black / L,VW323BLKLRG,843084105212,22964239892538,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,4,11,3,4,1,19.45
Daily Legging | Black,Black / M,VW323BLKMED,843084105205,22964239859770,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,6,43,4,2,-2,-38.90
Daily Legging | Black,Black / S,VW323BLKSML,843084105199,22964239827002,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,17,39,4,6,2,38.90
Daily Legging | Black,Black / XL,VW323BLKXLG,843084105229,22964239925306,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,3,0,2,2,0,0.00
Daily Legging | Black Camo,Black Camo / L,VW323BCMLRG,843084154463,31858247401575,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,7,4,3,3,0,0.00
Daily Legging | Black Camo,Black Camo / M,VW323BCMMED,843084154456,31858247368807,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,14,15,3,2,-1,-19.45
Daily Legging | Black Camo,Black Camo / S,VW323BCMSML,843084154449,31858247336039,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,16,1,7,9,2,38.90
Daily Legging | Black Camo,Black Camo / XS,VW323BCMXSM,843084154432,31858247303271,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,3,0,0,2,2,38.90
Daily Legging | Charcoal,Charcoal / S,VW323CCLSML,843084150557,31858247172199,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,31,29,4,5,1,19.45
Daily Legging | Charcoal,Charcoal / XL,VW323CCLXLG,843084150588,31858247270503,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,4,0,3,3,0,0.00
Daily Legging | Charcoal,Charcoal / XS,VW323CCLXSM,843084150540,31858247139431,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,4,17,2,2,0,0.00
