Product,Variant,SKU,Barcode,Shopify ID,Weight,Vendor,Product Type,Custom Text Field,Custom Date Field,Retail Price,Cost Price,Unfulfilled,On Order,Expected Stock,Actual Stock,Adjustment,Adjustment Cost
Daily Legging | Charcoal,Charcoal / M,VW323CCLMED,843084150564,31858247204967,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,11,32,5,7,2,38.90
Daily Legging | Charcoal,Charcoal / S,VW323CCLSML,843084150557,31858247172199,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,31,29,3,3,0,0.00
Daily Legging | Charcoal,Charcoal / XL,VW323CCLXLG,843084150588,31858247270503,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,4,0,2,2,0,0.00
Daily Legging | Charcoal,Charcoal / XS,VW323CCLXSM,843084150540,31858247139431,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,4,17,4,5,1,19.45
Daily Legging | Dusk,Dusk / L,VW323DSKLRG,843084150625,31858246746215,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,1,2,2,2,0,0.00
Daily Legging | Dusk,Dusk / M,VW323DSKMED,843084150618,31858246713447,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,5,4,3,3,0,0.00
Daily Legging | Dusk,Dusk / S,VW323DSKSML,843084150601,31858246680679,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,1,5,4,6,2,38.90
Daily Legging | Dusk,Dusk / XL,VW323DSKXLG,843084150632,31858246778983,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,0,0,3,6,3,58.35
Daily Legging | Dusk,Dusk / XS,VW323DSKXSM,843084150595,31858246647911,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,6,4,3,3,0,0.00
Daily Legging | Green Camo,Green Camo / M,VW323GMOMED,843084160532,32651546820711,5.6 oz,Vuori Clothing,Leggings,,,84.00,19.45,6,15,1,0,-1,-19.45
Daily Legging | Ink,Ink / L,VW323INKLRG,843084133253,23449289818170,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,2,0,2,2,0,0.00
Daily Legging | Ink,Ink / XL,VW323INKXLG,843084133260,23449289850938,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,0,0,6,6,0,0.00
Daily Legging | Ink,Ink / XS,VW323INKXSM,843084133222,23449289719866,5.6 oz,Vuori Clothing,Leggings,"",,84.00,19.45,1,0,1,1,0,0.00
Daily Legging | Ocean,Ocean / L,VW323OCELRG,843084160594,32651546624103,5.6 oz,Vuori Clothing,Leggings,,,84.00,19.45,2,0,1,1,0,0.00
Daily Legging | Ocean,Ocean / XS,VW323OCEXSM,843084160563,32651546525799,5.6 oz,Vuori Clothing,Leggings,,,84.00,19.45,4,0,2,1,-1,-19.45
Daily Legging | Ocean Shibori,Ocean Shibori / L,VW323OSHLRG,843084189977,33087448023143,5.6 oz,Vuori Clothing,Leggings,,,84.00,,1,9,4,4,0,0.00
Daily Legging | Ocean Shibori,Ocean Shibori / M,VW323OSHMED,843084189960,33087447990375,5.6 oz,Vuori Clothing,Leggings,,,84.00,,6,34,5,4,-1,0.00
Daily Legging | Ocean Shibori,Ocean Shibori / S,VW323OSHSML,843084189953,33087447957607,5.6 oz,Vuori Clothing,Leggings,,,84.00,,6,17,4,4,0,0.00
Daily Legging | Ocean Shibori,Ocean Shibori / XL,VW323OSHXLG,843084189984,33087448055911,5.6 oz,Vuori Clothing,Leggings,,,84.00,,1,6,3,3,0,0.00
Daily Legging | Ocean Shibori,Ocean Shibori / XS,VW323OSHXSM,843084189946,33087447924839,5.6 oz,Vuori Clothing,Leggings,,,84.00,,4,10,4,4,0,0.00
Daily Legging | Sierra,Sierra / L,VW323SIELRG,843084190027,33087448252519,5.6 oz,Vuori Clothing,Leggings,,,84.00,,1,0,6,5,-1,0.00
Daily Legging | Sierra,Sierra / M,VW323SIEMED,843084190010,33087448219751,5.6 oz,Vuori Clothing,Leggings,,,84.00,,3,7,9,8,-1,0.00
Daily Legging | Sierra,Sierra / S,VW323SIESML,843084190003,33087448186983,5.6 oz,Vuori Clothing,Leggings,,,84.00,,18,0,7,7,0,0.00
Daily Legging | Sierra,Sierra / XL,VW323SIEXLG,843084190034,33087448285287,5.6 oz,Vuori Clothing,Leggings,,,84.00,,0,1,3,3,0,0.00
Daily Legging | Sierra,Sierra / XS,VW323SIEXSM,843084189991,33087448154215,5.6 oz,Vuori Clothing,Leggings,,,84.00,,6,14,5,5,0,0.00
